schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
ADV-QB-SCHEMA-v1.0,GMP-ADV-B078-Q001,1,ADV-L17,ADV_RELATIVE_PRONOUNS,ADV-L17-ST01,ADV_L17_REL_SIMPLE,,PRONOUN_CHOICE,Le laboratoire a recruté une ingénieure ___ dirigera la nouvelle équipe de recherche.,fr,qui,que,où,quoi,fr,A,"Dans la relative, le pronom est sujet de « dirigera » ; « qui » convient pour une personne comme pour une chose.","Dans la relative, le pronom est sujet de « dirigera » ; « qui » convient pour une personne comme pour une chose.","« que » serait COD du verbe qui suit, or aucun autre sujet n’est exprimé devant « dirigera ».","« où » introduit un complément de lieu ou de temps, pas le sujet d’un verbe.",« quoi » est neutre et apparaît après une préposition dans la règle étudiée.,fa,,ADV-L17-MC01,ADV-L17-MC01,ADV-L17-MC01,EASY,0.25,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L17:book-p114-p115:rel-simple,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L17|ADV_L17_REL_SIMPLE|PRONOUN_CHOICE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B078-Q002,1,ADV-L17,ADV_RELATIVE_PRONOUNS,ADV-L17-ST01,ADV_L17_REL_SIMPLE,,CLOZE_SINGLE,Nous avons enfin retrouvé le dossier ___ le service juridique réclamait depuis lundi.,fr,qui,que,où,quoi,fr,B,"Le dossier est le COD de « réclamait » ; le sujet du verbe est « le service juridique », donc il faut « que ».",« qui » ferait de l’antécédent le sujet de « réclamait ».,"Le dossier est le COD de « réclamait » ; le sujet du verbe est « le service juridique », donc il faut « que ».",« où » ne convient pas : l’antécédent n’est ni un lieu ni un repère temporel dans cette relation.,« quoi » ne reprend pas ici un nom déterminé sans préposition.,fa,ADV-L17-MC01,,ADV-L17-MC01,ADV-L17-MC01,MEDIUM,0.50,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L17:book-p114-p115:rel-simple,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L17|ADV_L17_REL_SIMPLE|CLOZE_SINGLE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B078-Q003,1,ADV-L17,ADV_RELATIVE_PRONOUNS,ADV-L17-ST01,ADV_L17_REL_SIMPLE,,CORRECT_SENTENCE,Quelle phrase emploie correctement le relatif simple en fonction de temps ?,fr,Je me souviens de l’hiver qui la rivière avait complètement gelé.,Je me souviens de l’hiver que la rivière avait complètement gelé.,Je me souviens de l’hiver où la rivière avait complètement gelé.,Je me souviens de l’hiver quoi la rivière avait complètement gelé.,fr,C,« Où » peut reprendre un antécédent temporel : « l’hiver où… ».,"« qui » serait sujet, mais « la rivière » est déjà le sujet de « avait gelé ».",« que » serait COD ; « geler » n’appelle pas ici un COD représentant « l’hiver ».,« Où » peut reprendre un antécédent temporel : « l’hiver où… ».,« quoi » ne s’emploie pas ainsi après un nom temporel sans préposition.,fa,ADV-L17-MC01,ADV-L17-MC01,,ADV-L17-MC01,HARD,0.75,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L17:book-p114-p115:rel-simple,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L17|ADV_L17_REL_SIMPLE|CORRECT_SENTENCE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B078-Q004,1,ADV-L17,ADV_RELATIVE_PRONOUNS,ADV-L17-ST01,ADV_L17_REL_SIMPLE,,ERROR_LOCATION,Repérez le segment fautif : « Le sentier / que traverse la forêt / rejoint ensuite / le vieux moulin. »,fr,Le sentier,rejoint ensuite,le vieux moulin,que traverse la forêt,fr,D,"Dans la relative, « le sentier » est le sujet de « traverse » ; il faut « qui traverse la forêt ».",Le groupe nominal antécédent est correct.,Le verbe principal et son adverbe sont corrects.,Le complément d’objet de « rejoint » est correct.,"Dans la relative, « le sentier » est le sujet de « traverse » ; il faut « qui traverse la forêt ».",fa,ADV-L17-MC01,ADV-L17-MC01,ADV-L17-MC01,,MEDIUM,0.50,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L17:book-p114-p115:rel-simple,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L17|ADV_L17_REL_SIMPLE|ERROR_LOCATION,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B078-Q005,1,ADV-L17,ADV_RELATIVE_PRONOUNS,ADV-L17-ST01,ADV_L17_REL_SIMPLE,,PRONOUN_CHOICE,Le comité cherche une salle ___ l’on puisse installer cinquante personnes sans déplacer les cloisons.,fr,où,qui,que,quoi,fr,A,L’antécédent « une salle » exprime un lieu dans lequel l’action se déroule ; « où » convient.,L’antécédent « une salle » exprime un lieu dans lequel l’action se déroule ; « où » convient.,« qui » ferait de « la salle » le sujet de « puisse installer ».,"« que » ferait de « la salle » le COD de « installer », alors que le COD est « cinquante personnes ».",« quoi » est neutre et précédé d’une préposition dans l’emploi visé.,fa,,ADV-L17-MC01,ADV-L17-MC01,ADV-L17-MC01,VERY_HARD,1.00,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L17:book-p114-p115:rel-simple,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L17|ADV_L17_REL_SIMPLE|PRONOUN_CHOICE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B078-Q006,1,ADV-L17,ADV_RELATIVE_PRONOUNS,ADV-L17-ST01,ADV_L17_REL_SIMPLE,,CLOZE_CONTEXT,Le guide nous a montré plusieurs passages. Il nous a surtout indiqué celui ___ il faut passer quand la route principale est fermée.,fr,où,par où,d’où,à quoi,fr,B,"Pour préciser l’itinéraire de passage, le chapitre emploie la forme composée « par où ».","« où » seul indiquerait le lieu, mais le contexte demande explicitement le trajet de passage.","Pour préciser l’itinéraire de passage, le chapitre emploie la forme composée « par où ».","« d’où » marque le point d’origine, non l’itinéraire à emprunter.",« à quoi » est neutre et ne reprend pas ici un passage concret.,fa,ADV-L17-MC01,,ADV-L17-MC01,ADV-L17-MC01,EASY,0.25,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L17:book-p114-p115:rel-simple,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L17|ADV_L17_REL_SIMPLE|CLOZE_CONTEXT,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B078-Q007,1,ADV-L17,ADV_RELATIVE_PRONOUNS,ADV-L17-ST01,ADV_L17_REL_SIMPLE,,PREPOSITION_CHOICE,"Dans « Voilà ___ quoi je voulais revenir avant de conclure », quelle préposition complète correctement le relatif neutre ?",fr,à,de,sur,par,fr,C,« Quoi » est neutre et s’emploie après une préposition ; ici « revenir sur quelque chose » donne « sur quoi ».,« revenir à » changerait la construction et le sens visé de « revenir sur un point ».,"« revenir de » exprimerait notamment la provenance, pas le thème repris.",« Quoi » est neutre et s’emploie après une préposition ; ici « revenir sur quelque chose » donne « sur quoi ».,« revenir par » ne construit pas ici le complément thématique.,fa,ADV-L17-MC01,ADV-L17-MC01,,ADV-L17-MC01,MEDIUM,0.50,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L17:book-p114-p115:rel-simple,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L17|ADV_L17_REL_SIMPLE|PREPOSITION_CHOICE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B078-Q008,1,ADV-L17,ADV_RELATIVE_PRONOUNS,ADV-L17-ST01,ADV_L17_REL_SIMPLE,,REWRITE_EQUIV,Fusionnez : « Nous avons visité un atelier. Des artisans restaurent des vitraux dans cet atelier. »,fr,Nous avons visité un atelier qui des artisans restaurent des vitraux.,Nous avons visité un atelier que des artisans restaurent des vitraux.,Nous avons visité un atelier quoi des artisans restaurent des vitraux.,Nous avons visité un atelier où des artisans restaurent des vitraux.,fr,D,L’atelier est le lieu dans lequel les artisans travaillent ; « où » relie correctement les deux phrases.,« qui » ne peut pas précéder directement le sujet exprimé « des artisans » dans cette structure.,"« que » ferait de « atelier » un COD, ce qui ne correspond pas à « dans cet atelier ».",« quoi » ne reprend pas directement ce nom de lieu sans préposition.,L’atelier est le lieu dans lequel les artisans travaillent ; « où » relie correctement les deux phrases.,fa,ADV-L17-MC01,ADV-L17-MC01,ADV-L17-MC01,,HARD,0.75,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L17:book-p114-p115:rel-simple,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L17|ADV_L17_REL_SIMPLE|REWRITE_EQUIV,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B078-Q009,1,ADV-L17,ADV_RELATIVE_PRONOUNS,ADV-L17-ST01,ADV_L17_REL_SIMPLE,,FA_TO_FR,کدام ترجمهٔ فرانسوی برای «این همان موضوعی است که درباره‌اش می‌خواستم صحبت کنم.» با قاعدهٔ «quoi» سازگار است؟,fa,C’est précisément ce à propos de quoi je voulais parler.,C’est précisément ce à propos qui je voulais parler.,C’est précisément ce à propos que je voulais parler.,C’est précisément ce quoi je voulais parler.,fr,A,"Après la locution « à propos de », le neutre « quoi » peut reprendre « ce » : « à propos de quoi ».","Après la locution « à propos de », le neutre « quoi » peut reprendre « ce » : « à propos de quoi ».","Après cette locution prépositionnelle, « qui » ne reprend pas le neutre « ce » dans la structure visée.",« que » ne peut pas suivre « à propos » pour remplacer le complément de la locution.,Le relatif neutre « quoi » doit ici être introduit par la locution prépositionnelle.,fa,,ADV-L17-MC01,ADV-L17-MC01,ADV-L17-MC01,MEDIUM,0.50,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L17:book-p114-p115:rel-simple,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L17|ADV_L17_REL_SIMPLE|FA_TO_FR,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
ADV-QB-SCHEMA-v1.0,GMP-ADV-B078-Q010,1,ADV-L17,ADV_RELATIVE_PRONOUNS,ADV-L17-ST01,ADV_L17_REL_SIMPLE,,PRONOUN_CHOICE,Nous nous retrouverons exactement là ___ le bus nous a déposés hier soir.,fr,que,où,qui,quoi,fr,B,La forme « là où » localise précisément le point repris ; le relatif attendu après « là » est « où ».,« que » n’exprime pas ici la localisation.,La forme « là où » localise précisément le point repris ; le relatif attendu après « là » est « où ».,« qui » ne peut pas représenter le lieu comme sujet du verbe avec « le bus » déjà sujet.,« quoi » ne s’emploie pas directement après « là » dans cette structure.,fa,ADV-L17-MC01,,ADV-L17-MC01,ADV-L17-MC01,HARD,0.75,ADV-DIFFICULTY-v1.0,READY_FOR_IMPORT,BOOK_RULE_DERIVED,ADV-L17:book-p114-p115:rel-simple,openai-gpt-5.6-sol,openai-gpt-5.6-sol-qa,ADV|L17|ADV_L17_REL_SIMPLE|PRONOUN_CHOICE,NONE,,,,,ADV-TAXONOMY-v1.0,ADV-QTYPE-v1.0,ADV-COMPAT-v1.0,ADV-DISTRACTOR-v1.0,ADV-CONTENT-v1.0
